summary,Label L2
nodes don't stay in original position,0
search only works on 'all views' context setting,0
"Compendium license - Meaning of ""non commercial use""",0
New tags mis-formatted on list,0
passwords less than five characters allowed,1
non-administrators have administrator privileges,1
users can delete themselves,1
users created later cannot view pre-existing database,0
tags in tag view  pull down menu don't stay in sync,0
Deleting or Cutting a node leaves it in the old view - PRECISE CONDITIONS,0
Will not move or delete nodes that have multiple copies - a cause?,0
Cannot move or delete nodes with multiple copies,0
1) Nodes dont cut/delete properly NOW and 2) in 1.5.1 they are very very SLOW...,0
Double paste occurs if Drag&Drop followed by mouse click,0
Using compendium and MySQL locally,0
Windows menu displays only three open windows,0
Installation problem,0
Typo in ReadMe in distribution .dmg file  problems with bug reporting,0
Quick Start Movie should SAY where it plays,0
Allow multiple name selections for Send to Inbox Of,0
Deleted nodes show up in search results,0
Most of the maps in my home window report being in the home window twice,0
Views jump from Tags View leaves permanent display trash,0
XML import from Atlas Problem,0
Icon field in List node's Contents window not formatted correctly,0
Images assigned as node icons not displayed correctly,0
Replacing a node's icon image results in distorted image.,0
Sometimes tag labels mis-align,0
Groupwear Refresh Timer runs even if on Derby,0
Project creation,0
excercise 6,0
Node detail asterisk removed when cutting and pasting maps to sub-maps,0
Closing Tag View does not clear Working Area rollover hints,0
Duplicate inbox,0
"Where should I find the ""Current Log File""",0
Export to WEB Map does not include stencils for the list node,0
Could not start!,0
How about multi-byte character code as Japanese?,0
Support for Fonts,0
Compendium 1.5.2 - Linking issues with Tablet PC,0
Readers feature lists one user under another user's name,1
Improved group support,0
Unable to create MySQL Connection,0
Can't hit Enter/Return to open a new node after typing its label,0
Keyboard shortcuts to create new nodes,0
Cannot access a map,0
Change the tags - node icon indicator list (alphabetic order),0
Exporting Web maps,0
Ctrl+Shift+Left in node label does wrong selection,0
A few issues with Help files: Node Label Preferences/Project Options/General ...,0
"System locks up - when printing ""Tools Menu""",0
Dotted line links for cross-links,0
Adjustable link line label placement,0
When adding images/icons to nodes  Compendium should automatically browse the...,0
Colour Palette,0
How does Compendium work with Leopard?,0
Compendium Database,0
Loss off links when selecting a node from the auto-search list after having c...,0
MySQL New project creation problem,0
cannot get product started,0
Simple export and import of compendium files,0
tag names in tag view misaligned when tagged > 10,0
Installation Problems,0
Running in Ubuntu 7.10,0
can't open,0
Download Failure,0
Remote MySQL for collaboration Issue - Project Table does not exist.,0
Porojects don't open in ubuntu Hardy AMD64,0
Export of multiple pages in Maps,0
HTML Export problem when using FireFox 3.0,0
Speel checker with autocorrect,0
All data in map node disappeared,1
Scribble pad clears when connected to remote database due to refresh loop,0
Optimize the web outline export for use with Word template,0
Web Maps export options to remove details popups where only the node anchor a...,0
Web Maps export options to exclude node details popups altogether,0
Alt+Shift+Right in node label does not work for selecting text,0
Could we have a portable version of Compendium?,0
How to save,0
Can't use launch button on Contents dialog for internal Reference nodes in an...,0
contents/properties/views window resizes back to a default size at any change...,0
XML export to zip: reference file paths not correctly renamed if the same res...,0
Node background color gets lost during backup restore process,1
Back Arrow on Toolbar locks up Compendium,0
How do I create new maps in my project?,0
Wrong link colour using Alt - and Alt+,0
./compendium.sh ...NoClassDefFoundError java/lang/System,0
Select multiple nodes and clone,0
Troubles wth cursor positioning in node labels,0
LaTeX Support,0
MAP NODE NOT RESPONDING,0
List Node Header Spacing is not Remembered,0
Troubles wth cursor positioning in node labels,0
Add an 'Open' Button to the Search Reulsts Dialog,0
Add node timespans to XML export / import,0
Add timespans to backup / restore,1
Right-click node timeline to view timespan properties,0
Double-click blank are of node timeline to create new 5 second timespan,0
add control areas to start and end of node timline timspan,0
Click in timespan on node timeline jumps movie to start of that span,0
Click anywhere on node timeline highlights the node on map (if it is currentl...,0
Fast node linking using arrow icons on node,0
New node icon for MovieMap nodes,0
Clickin on node in map will highlight timeline,0
Error message on trying to download Compendium,0
Unable to backup database,0
deleted nodes persist in MySQL,0
map (corrupted?) hangs Compendium,0
Spurious message about toolbars.xml,0
Closing project disables menu shortcuts,0
Send to Jabber enabled when no project is open,0
drag and drop externs files doesn't work on linux version,0
Crashes - Java runtime error,0
"""Table 'compendium.project' doesen't exist"" after Creating a Project in MySQL...",0
error at start-up,0
instalation problem,0
Can't run download of Compenium 1.5.3 alpha,0
starting problem on Ubuntu,0
Floating tooltip misplaced under Firefox,0
Ability to specify a default map background,0
Unable to connect to Database on Ubuntu 64 bit,0
Auto-detect if newer version of Compendium available for download,0
Negative yposition-values when importing from Excel,0
Single user tab - highlight Save button automatically,0
"Site ""compendiuminstitute.org"" defaced ?",1
Application not launching.,0
Copendium does not start,0
toolbars.xml error on Vista 64-bit,0
Make space with drag box alt goes wrong when zoomed,0
Aerial View Delete-Undo Bug,0
Compendium installed but will not open,0
Java Class load Proroblem,0
Line Formatting in Links,0
Free Text (with RTF formatting) in map background,0
Compendium will not open,0
Compendium 1.5.3 a5 generates inaccessible projects on openSUSE 11.2 64-bit L...,0
wont run in windows 7,0
Installation on Ubuntu 9.10,0
1.5.3 Alpha 5 does not load,0
Install package failed to download correctly.,0
Question regarding the licence,0
Javaw not found,0
Find-as-you-type no longer appears to work when creating new nodes,0
Exception when opening a new map,0
Search updates into lists,0
Maps not saving in Linux Ubuntu,0
Compendium Update Checker,0
Download doesn't start,0
Deleting nodes based on stencils does not place them in the trash can,0
Export - Power Export - does not work,0
"Compendium window has set attribute ""always on top""",0
Hotkeys for zooming,0
Circular / radial arrange option,0
How to move Derby DB location?,0
Main window always on top,0
HTML Export missing images if loaded in Word,0
Font changes in outline view but not in existing View,0
Windows 7 64 bit - Can't find Javaw,0
Downloading - set-up,0
Login to a project by double click on the project name,0
Error when creating and opening new map in old MySQL project,0
Installation problem  Compendium and Windows 7,0
how to set default link type,0
Compendium fails to create schema once connected to MYSQL,0
